"Story","Title","Result","Date","Stability","Duration (s)"
"Store extraction test","Extract the limit","SUCCESS","2023-06-08T20:37:56.258+01:00[Europe/London]","0.0","0.03"
"Store extraction test","Extract the total","SUCCESS","2023-06-08T20:37:56.286+01:00[Europe/London]","0.0","0.04"
"Store extraction test","Extract the name of 5th store","SUCCESS","2023-06-08T20:37:56.323+01:00[Europe/London]","0.0","0.08"
"Store extraction test","Extract the names of all the store","SUCCESS","2023-06-08T20:37:56.402+01:00[Europe/London]","0.0","0.08"
"Store extraction test","Extract the storeId of all the store","SUCCESS","2023-06-08T20:37:56.484+01:00[Europe/London]","0.0","0.07"
"Store extraction test","Print the size of the data list","SUCCESS","2023-06-08T20:37:56.553+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Get all the value of the store where store name = St Cloud","SUCCESS","2023-06-08T20:37:56.615+01:00[Europe/London]","0.0","0.15"
"Store extraction test","Get the address of the store where store name = Rochester","SUCCESS","2023-06-08T20:37:56.784+01:00[Europe/London]","0.0","0.23"
"Store extraction test","Get all the services of 8th store","SUCCESS","2023-06-08T20:37:57.033+01:00[Europe/London]","0.0","0.07"
"Store extraction test","Get storeServices of the store where service name = Windows Store","SUCCESS","2023-06-08T20:37:57.111+01:00[Europe/London]","0.0","0.09"
"Store extraction test","Get all the storeId of all the store","SUCCESS","2023-06-08T20:37:57.204+01:00[Europe/London]","0.0","0.13"
"Store extraction test","Get id of all the store","SUCCESS","2023-06-08T20:37:57.334+01:00[Europe/London]","0.0","0.24"
"Store extraction test","Find the store names Where state = ND","SUCCESS","2023-06-08T20:37:57.580+01:00[Europe/London]","0.0","0.12"
"Store extraction test","Find the Total number of services for the store where store name = Rochester","SUCCESS","2023-06-08T20:37:57.704+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the createdAt for all services whose name = “Windows Store”","SUCCESS","2023-06-08T20:37:57.764+01:00[Europe/London]","0.0","0.17"
"Store extraction test","Find the name of all services Where store name = “Fargo”","SUCCESS","2023-06-08T20:37:57.943+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the zip of all the store","SUCCESS","2023-06-08T20:37:58.004+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the zip of store name = Roseville","SUCCESS","2023-06-08T20:37:58.076+01:00[Europe/London]","0.0","0.05"
"Store extraction test","Find the storeServices details of the service name = Magnolia Home Theater","SUCCESS","2023-06-08T20:37:58.132+01:00[Europe/London]","0.0","0.11"
"Store extraction test","Find the lat of all the stores","SUCCESS","2023-06-08T20:37:58.244+01:00[Europe/London]","0.0","0.05"
