"Story","Title","Result","Date","Stability","Duration (s)"
"Product extraction test","Extract the limit","SUCCESS","2023-06-08T20:37:51.927+01:00[Europe/London]","0.0","0.05"
"Product extraction test","Extract the total","SUCCESS","2023-06-08T20:37:51.980+01:00[Europe/London]","0.0","0.07"
"Product extraction test","Extract the name of 5th product","SUCCESS","2023-06-08T20:37:52.092+01:00[Europe/London]","0.0","0.23"
"Product extraction test","Extract the names of all the products","SUCCESS","2023-06-08T20:37:52.323+01:00[Europe/London]","0.0","0.17"
"Product extraction test","Extract the productId of all the products","SUCCESS","2023-06-08T20:37:52.503+01:00[Europe/London]","0.0","0.12"
"Product extraction test","Print the size of the data list","SUCCESS","2023-06-08T20:37:52.627+01:00[Europe/London]","0.0","0.07"
"Product extraction test","Get all the value of the product where product name = Energizer - MAX Batteries AA (4-Pack)","SUCCESS","2023-06-08T20:37:52.700+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Get the model of the product where product name = Energizer - N Cell E90 Batteries (2-Pack)","SUCCESS","2023-06-08T20:37:52.791+01:00[Europe/London]","0.0","0.16"
"Product extraction test","Get all the categories of 8th products","SUCCESS","2023-06-08T20:37:52.958+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Get categories of the store where product id = 150115","SUCCESS","2023-06-08T20:37:53.061+01:00[Europe/London]","0.0","0.05"
"Product extraction test","Get all the descriptions of all the products","SUCCESS","2023-06-08T20:37:53.109+01:00[Europe/London]","0.0","0.04"
"Product extraction test","Get id of all the all categories of all the products","SUCCESS","2023-06-08T20:37:53.160+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the product names Where type = HardGood","SUCCESS","2023-06-08T20:37:53.265+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the Total number of categories for the product where product name = Duracell - AA 1.5V CopperTop Batteries (4-Pack)","SUCCESS","2023-06-08T20:37:53.367+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Find the createdAt for all products whose price < 5.49","SUCCESS","2023-06-08T20:37:53.462+01:00[Europe/London]","0.0","0.15"
"Product extraction test","Find the name of all categories Where product name = “Energizer - MAX Batteries AA (4-Pack)”","SUCCESS","2023-06-08T20:37:53.611+01:00[Europe/London]","0.0","0.17"
"Product extraction test","Find the manufacturer of all the products","SUCCESS","2023-06-08T20:37:53.779+01:00[Europe/London]","0.0","0.12"
"Product extraction test","Find the image of products whose manufacturer is = Energizer","SUCCESS","2023-06-08T20:37:53.903+01:00[Europe/London]","0.0","0.06"
"Product extraction test","Find the createdAt for all categories products whose price > 5.99","SUCCESS","2023-06-08T20:37:53.963+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the uri of all the products","SUCCESS","2023-06-08T20:37:54.086+01:00[Europe/London]","0.0","0.04"
